,Blue = Needs to be updated on Origin,,,,Salmon = Needs review or is missing data,,,,,,Green = Core Data for Origin,,,,,Pink = Should be salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESET ID,Brand or Association,Series,"Origin
Link",Revision Date,[EC],Weight,,Th,Density  密度,Process,"A1-A3
",,Compared to Average,,RESET SCORE,A4,A5,B,C1,C2,C3,C4,D,,,A1-A3,,A4,A5,B,C1,C2,C3,C4,D,,Data Region,Source,Standard,Uncertainty,"Life
(RSL)",Expiry,Notes,,[CI],BB,SH,RC,SOL,R,B,SF,EOL,Basic Circularity,RESET SCORE,PF,EOL A,Adv Circularity,,Max SOL,Max EOL,Max Circularity,[HE],Source,RLC,RLF,Unknwn,Known,LT / SCD,VOC,RESET HEALTHSCORE,TOTAL RESET SCORE,Compared to Average,,,,Source Link,EPD file name,Company Link,Image
,,,,,,,,,,,1.25,Unit,,,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,Unit,,1.25,Unit,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,YY/MO/DA,,kg/unit,,mm,kg/m3,,kgCO2e,/kg,Region,Global,,,,,kgCO2e,,,,,/kg,,kgCO2e,,,,,kgCO2e,,,,,,,,,%,years,,,,,,,,,,,,%,%,,%,%,%,,,,,,,%,%,%,%,,%,,,Region,Global,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET TILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellBAC Comfort Print (Absolute Color),Milliken,Passage,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Accent North East),Milliken,Boundaries,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Backbeat),Milliken,Remix 3.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Bedrock),Milliken,Live Stream,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Calm),Milliken,Divided Glass,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Construct),Milliken,Architecturally Sound 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Corner),Milliken,Pentomino 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
