RESET ID,Brand or Association,Series,CO2(kg),RESET SCORE,CO2(ml),RC,R,SF,RLF,Known,VOC,TOTAL RESET SCORE,Better than Average,Rank,ImageName
WellBAC Comfort Print (Impressions),Milliken,Brushed By Tradition,5.175,100.00%,14.2,60%,100%,80%,100%,100%,100%,82.00%,69.40%,1st,impressions
WellBAC Comfort Print (Drift),Milliken,Air Born,5.432,100.00%,15.9,57.70%,100%,80%,100%,100%,100%,81.60%,68.60%,2nd,drift
WellBAC Function Print (Reveal),Milliken,Revelation,5.612,100.00%,15.4,50.40%,100%,80%,100%,100%,100%,80.40%,66.10%,3rd,reveal
WellBAC Comfort SDN Recycled Yarn (Metallic Joinery),Milliken,Fine Detail,3.375,100.00%,9.26,35%,100%,80%,100%,100%,100%,77.80%,60.80%,4th,metallicjoinery
WellBAC Comfort Plus Print (Effect),Milliken,Consequence 2.0,4.747,100.00%,14.8,35%,100%,80%,100%,100%,100%,77.80%,60.80%,4th,effect
WellBAC Comfort Plus Print (Dissident),Milliken,Dissident & Fringe ,4.747,100.00%,14.8,35%,100%,80%,100%,100%,100%,77.80%,60.80%,4th,dissident
WellBAC Comfort SDN Recycled Yarn (Alloy),Milliken,Heavy Meta,3.375,100.00%,9.26,30%,100%,80%,100%,100%,100%,77.00%,59.00%,5th,alloy
WellBAC Comfort SDN Recycled Yarn (Burned),Milliken,Surface Study,3.375,100.00%,9.26,30%,100%,80%,100%,100%,100%,77.00%,59.00%,5th,burned
WellBAC Comfort Plus Print (Laid Bare),Milliken,Comfortable Concrete,4.747,100.00%,14.8,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,laidbare
WellBAC Comfort Plus Print (Invisible Field),Milliken,Momentum 2.0 ,4.747,100.00%,14.8,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,invisiblefield
WellBAC Comfort Print (Isograd),Milliken,Nordic Stories ,5.175,100.00%,14.2,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,isograd
WellBAC Comfort Print (Distortion),Milliken,Major Frequency One ,5.175,100.00%,14.2,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,distortion
WellBAC Function SDN (Formwork),Milliken,Formwork 2.0,5.432,100.00%,15.9,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,formwork
WellBAC Comfort Print (Landscape),Milliken,Coastline,5.175,100.00%,14.2,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,landscape
WellBAC Comfort Print (Double Plus),Milliken,Play Angle,5.175,100.00%,14.2,25%,100%,80%,100%,100%,100%,76.20%,57.30%,6th,doubleplus
WellBAC Function Print (Renovate),Milliken,Dissident & Fringe 2.0,5.175,100.00%,14.2,20%,100%,80%,100%,100%,100%,75.30%,55.60%,7th,renovate
WellBAC Comfort Print (Navigator),Milliken,Topography 2.0,5.175,100.00%,14.2,20%,100%,80%,100%,100%,100%,75.30%,55.60%,7th,navigator
WellBAC Comfort Print (Absolute Color),Milliken,Passage,5.175,100.00%,14.2,20%,100%,80%,100%,100%,100%,75.30%,55.60%,7th,absolutecolor
WellBAC Comfort Print (Forty-Five Degrees),Milliken,Compass,5.175,100.00%,14.2,20%,100%,80%,100%,100%,100%,75.30%,55.60%,7th,forty-fivedegrees
